Genre,log_sales,Year,Platform
Action,0.0,2013.0,Wii
Action,0.009950330853168083,2012.0,X360
Action,0.0,2003.0,PS2
Role-Playing,0.0,2015.0,PS4
Simulation,0.0,2008.0,DS
Role-Playing,0.4382549309311553,2003.0,PS2
Simulation,0.0,2010.0,PC
Simulation,0.2776317365982795,2004.0,PS2
Action,0.0,2007.0,DS
Action,0.019802627296179712,2008.0,PS3
Action,0.009950330853168083,2013.0,X360
Role-Playing,0.07696104113612832,2009.0,PS3
Action,0.07696104113612832,2001.0,GBA
Role-Playing,0.0,2002.0,GBA
Action,0.1988508587451652,2005.0,GC
Action,0.06765864847381481,2012.0,PSV
Action,0.0,2012.0,X360
Simulation,0.0,2003.0,PC
Action,0.0,2008.0,Wii
Simulation,0.039220713153281295,2007.0,Wii
Action,0.15700374880966478,2002.0,GBA
Action,0.10436001532424277,2015.0,PS4
Action,0.05826890812397577,2007.0,PS3
Role-Playing,0.9745596399981308,2004.0,PS2
Role-Playing,0.8197798314933114,2007.0,DS
Action,0.0,2011.0,Wii
Action,0.0,2004.0,PS2
Simulation,0.0,2010.0,X360
Simulation,0.019802627296179712,2006.0,X360
Action,0.019802627296179712,2010.0,X360
Role-Playing,0.262364264467491,2006.0,Wii
Action,0.0,2007.0,DS
Simulation,0.009950330853168083,2008.0,Wii
Action,0.0,2005.0,PS2
Action,0.019802627296179712,2008.0,X360
Action,0.262364264467491,1999.0,PS
Role-Playing,0.8586616190375187,2008.0,DS
Action,0.019802627296179712,2016.0,PS4
Role-Playing,0.0,1996.0,PC
Action,0.039220713153281295,2006.0,GC
Action,0.29266961396282,2008.0,PS3
Action,0.0,2010.0,X360
Simulation,0.009950330853168083,2008.0,DS
Action,0.29266961396282,2012.0,3DS
Action,0.0,2007.0,DS
Role-Playing,0.3646431135879093,2009.0,DS
Action,0.0,1995.0,PS
Role-Playing,0.2851789422336624,2016.0,PS4
Role-Playing,0.9400072584914712,2001.0,GB
Action,0.009950330853168083,2013.0,PS4
Action,0.0,2010.0,X360
Action,0.039220713153281295,2012.0,PS3
Action,0.019802627296179712,2000.0,N64
Action,0.019802627296179712,2001.0,PS
Action,0.0,2014.0,XOne
Action,0.0,2010.0,PS3
Role-Playing,0.19062035960864973,2011.0,PS3
Action,0.009950330853168083,2013.0,XOne
Action,0.2546422183735807,2007.0,Wii
Role-Playing,0.41871033485818504,2015.0,3DS
Role-Playing,0.07696104113612832,2000.0,PS2
Simulation,0.009950330853168083,2008.0,Wii
Action,0.0,2007.0,DS
Action,0.039220713153281295,2010.0,PS3
Action,0.0,2002.0,PS2
Action,0.0,2011.0,X360
Role-Playing,0.9202827531436926,2013.0,3DS
Action,0.0,2007.0,PS2
Role-Playing,0.0,2010.0,PC
Action,0.08617769624105233,2010.0,X360
Action,0.09531017980432487,1998.0,PS
Role-Playing,0.3074846997479606,2003.0,GC
Action,0.009950330853168083,2008.0,X360
Simulation,0.0,2010.0,Wii
Role-Playing,0.0295588022415444,2011.0,PS3
Action,0.0,2004.0,XB
Simulation,0.0,2007.0,DS
Action,0.05826890812397577,2012.0,PSV
Action,0.5007752879124893,1999.0,N64
Action,0.3646431135879093,2013.0,PS3
Role-Playing,0.3987761199573678,2008.0,DS
Action,0.0,2010.0,X360
Role-Playing,0.636576829071551,1998.0,PS
Role-Playing,0.0295588022415444,2012.0,PS3
Action,0.0,2012.0,Wii
Action,0.05826890812397577,2012.0,PS3
Action,0.43178241642553783,2004.0,PS2
Role-Playing,0.0,2013.0,X360
Action,0.0,2015.0,XOne
Action,0.3784364357202451,2003.0,PS2
Simulation,0.8919980393051105,1996.0,GB
Simulation,0.8919980393051105,1997.0,GB
Role-Playing,0.8064758658669484,2010.0,DS
Simulation,0.0,2013.0,PC
Action,0.0,1999.0,PS
Action,0.0,2013.0,X360
Action,0.0,2009.0,Wii
Role-Playing,0.832909122935104,2013.0,3DS
Action,0.1988508587451652,2004.0,GBA
Action,0.0,2008.0,X360
Action,0.3001045924503381,2002.0,GC
Role-Playing,0.7793248768009976,2009.0,DS
Action,0.05826890812397577,2014.0,PS4
Action,0.0,2006.0,PSP
Action,0.0,2010.0,Wii
Action,0.0,2005.0,GC
Action,0.12221763272424921,2010.0,Wii
Action,0.0,2002.0,XB
Action,0.009950330853168083,2008.0,PS3
Role-Playing,0.43178241642553783,2007.0,DS
Action,0.0,2009.0,DS
Action,0.6471032420585384,2005.0,PS2
Action,0.0,2007.0,Wii
Action,0.0,2012.0,PS3
Action,0.0,2003.0,XB
Simulation,0.0,2005.0,PSP
Role-Playing,0.4637340162321401,2000.0,N64
Role-Playing,0.3987761199573678,2012.0,3DS
Role-Playing,0.3220834991691133,2012.0,PSV
Action,0.1397619423751587,2010.0,PS3
Action,0.0,2011.0,X360
Action,0.0,2008.0,PS2
Action,0.05826890812397577,2014.0,PS3
Role-Playing,0.0,2004.0,XB
Action,0.0,2010.0,PS3
Role-Playing,0.8586616190375187,1996.0,SNES
Action,0.0,2013.0,XOne
Simulation,0.8153648132841945,1999.0,PS
Action,0.048790164169432,2009.0,DS
Action,0.048790164169432,2010.0,X360
Action,0.7227059828014898,2004.0,PS2
Action,0.07696104113612832,2008.0,X360
Role-Playing,0.708035793053696,2005.0,PSP
Action,0.019802627296179712,2011.0,X360
Role-Playing,0.7275486072772778,1997.0,PS
Role-Playing,0.35767444427181594,2005.0,DS
Action,0.009950330853168083,2002.0,GBA
Simulation,0.0,2003.0,GBA
Role-Playing,0.2776317365982795,2013.0,PS3
Simulation,0.0,2007.0,DS
Role-Playing,0.4574248470388754,2010.0,DS
Action,0.009950330853168083,2014.0,XOne
Action,0.0,2008.0,PS3
Role-Playing,0.33647223662121295,2014.0,PS3
Role-Playing,0.0,2008.0,PC
Role-Playing,0.16551443847757338,2014.0,PS3
Action,0.0,2014.0,X360
Role-Playing,0.6729444732424258,2003.0,GBA
Action,0.0,2012.0,X360
Action,0.0,2009.0,X360
Role-Playing,0.0,2002.0,GBA
Action,0.05826890812397577,2011.0,PS3
Action,0.08617769624105233,2013.0,PS3
Role-Playing,0.8285518175661483,1995.0,SNES
Role-Playing,0.2468600779315258,1999.0,PS
Role-Playing,0.6151856390902334,2002.0,GBA
Action,0.37156355643248307,2002.0,GC
Role-Playing,0.2151113796169455,2008.0,PS3
Role-Playing,0.0,2004.0,PS2
Action,0.009950330853168083,2014.0,X360
Simulation,0.0,2008.0,DS
Action,0.15700374880966478,2014.0,PS4
Action,0.0,2015.0,XOne
