Genre,log_sales,Year,Platform
Simulation,0.9820784724121582,2003.0,PC
Action,0.8020015854720274,2008.0,Wii
Simulation,0.6471032420585384,2007.0,Wii
Action,0.7793248768009976,2002.0,GBA
Action,0.48858001481867097,2015.0,PS4
Action,0.4510756193602166,2007.0,PS3
Role-Playing,0.0,2004.0,PS2
Role-Playing,0.2776317365982795,2007.0,DS
Action,0.5653138090500605,2011.0,Wii
Action,0.43178241642553783,2004.0,PS2
Simulation,0.7030975114131134,2010.0,X360
Simulation,0.37156355643248307,2006.0,X360
Action,0.4637340162321401,2010.0,X360
Role-Playing,0.5877866649021191,2006.0,Wii
Action,0.9162907318741551,2007.0,DS
Simulation,0.6678293725756554,2008.0,Wii
Action,0.832909122935104,2005.0,PS2
Action,0.5364933705145685,2008.0,X360
Action,0.5364933705145685,1999.0,PS
Role-Playing,0.17395330712343804,2008.0,DS
Action,0.4574248470388754,2016.0,PS4
Role-Playing,0.009950330853168083,1996.0,PC
Action,0.7654678421395714,2006.0,GC
Action,0.4574248470388754,2008.0,PS3
Action,0.6678293725756554,2010.0,X360
Simulation,0.5933268452777344,2008.0,DS
Action,0.6312717768418579,2012.0,3DS
Action,0.7227059828014898,2007.0,DS
Role-Playing,0.4574248470388754,2009.0,DS
Action,0.8415671856782186,1995.0,PS
Role-Playing,0.4574248470388754,2016.0,PS4
Role-Playing,0.0,2001.0,GB
Action,0.4637340162321401,2013.0,PS4
Action,0.6097655716208943,2010.0,X360
Action,0.5423242908253617,2012.0,PS3
Action,0.7561219797213337,2000.0,N64
Action,0.4510756193602166,2001.0,PS
Action,0.6418538861723948,2014.0,XOne
Action,0.5877866649021191,2010.0,PS3
Role-Playing,0.4700036292457356,2011.0,PS3
Action,0.7227059828014898,2013.0,XOne
Action,0.5187937934151675,2007.0,Wii
Role-Playing,0.5364933705145685,2015.0,3DS
Role-Playing,0.6043159668533294,2000.0,PS2
Simulation,0.5364933705145685,2008.0,Wii
Action,0.4510756193602166,2007.0,DS
Action,0.4054651081081644,2010.0,PS3
Action,0.8153648132841945,2002.0,PS2
Action,0.6097655716208943,2011.0,X360
Role-Playing,0.0,2013.0,3DS
Action,0.3001045924503381,2007.0,PS2
Role-Playing,0.6205764877251099,2010.0,PC
Action,0.5596157879354227,2010.0,X360
Action,0.7929925155296614,1998.0,PS
Role-Playing,0.5423242908253617,2003.0,GC
Action,0.598836501088704,2008.0,X360
Simulation,0.4762341789963716,2010.0,Wii
Role-Playing,0.5766133643039938,2011.0,PS3
Action,0.598836501088704,2004.0,XB
Simulation,0.3293037471426004,2007.0,DS
Action,0.4574248470388754,2012.0,PSV
Action,0.4824261492442927,1999.0,N64
Action,0.37156355643248307,2013.0,PS3
Role-Playing,0.5247285289349821,2008.0,DS
Action,0.6678293725756554,2010.0,X360
Role-Playing,0.2546422183735807,1998.0,PS
Role-Playing,0.48858001481867097,2012.0,PS3
Action,0.6626879730752367,2012.0,Wii
Action,0.3852624007906449,2012.0,PS3
Action,0.31481073984003355,2004.0,PS2
Role-Playing,0.636576829071551,2013.0,X360
Action,0.6205764877251099,2015.0,XOne
Action,0.43178241642553783,2003.0,PS2
Simulation,0.0,1996.0,GB
Simulation,0.0,1997.0,GB
Role-Playing,0.10436001532424277,2010.0,DS
Simulation,0.3920420877760237,2013.0,PC
Action,0.5877866649021191,1999.0,PS
Action,0.6729444732424258,2013.0,X360
Action,0.6471032420585384,2009.0,Wii
Role-Playing,0.06765864847381481,2013.0,3DS
Action,0.636576829071551,2004.0,GBA
Action,0.636576829071551,2008.0,X360
Action,0.48858001481867097,2002.0,GC
Role-Playing,0.0,2009.0,DS
Action,0.3852624007906449,2014.0,PS4
Action,0.4574248470388754,2006.0,PSP
Action,0.49469624183610705,2010.0,Wii
Action,0.7371640659767197,2005.0,GC
Action,0.6259384308664953,2010.0,Wii
Action,0.7275486072772778,2002.0,XB
Action,0.35767444427181594,2008.0,PS3
Role-Playing,0.29266961396282,2007.0,DS
Action,0.8197798314933114,2009.0,DS
Action,0.2151113796169455,2005.0,PS2
Action,0.6259384308664953,2007.0,Wii
Action,0.412109650826833,2012.0,PS3
Action,0.6729444732424258,2003.0,XB
Simulation,0.3987761199573678,2005.0,PSP
Role-Playing,0.4574248470388754,2000.0,N64
Role-Playing,0.4054651081081644,2012.0,3DS
Role-Playing,0.3784364357202451,2012.0,PSV
Action,0.35767444427181594,2010.0,PS3
Action,0.48858001481867097,2011.0,X360
Action,0.4700036292457356,2008.0,PS2
Action,0.3784364357202451,2014.0,PS3
Role-Playing,0.688134638736401,2004.0,XB
Action,0.4382549309311553,2010.0,PS3
Role-Playing,0.0,1996.0,SNES
Action,0.598836501088704,2013.0,XOne
Simulation,0.0,1999.0,PS
Action,0.4637340162321401,2009.0,DS
Action,0.5068176023684519,2010.0,X360
Action,0.1988508587451652,2004.0,PS2
Action,0.5822156198526637,2008.0,X360
Role-Playing,0.2151113796169455,2005.0,PSP
Action,0.5306282510621704,2011.0,X360
Role-Playing,0.1397619423751587,1997.0,PS
Role-Playing,0.5709795465857378,2005.0,DS
Action,0.6523251860396903,2002.0,GBA
Simulation,0.6575200029167941,2003.0,GBA
Role-Playing,0.35767444427181594,2013.0,PS3
Simulation,0.5364933705145685,2007.0,DS
Role-Playing,0.412109650826833,2010.0,DS
Action,0.5423242908253617,2014.0,XOne
Action,0.5423242908253617,2008.0,PS3
Role-Playing,0.33647223662121295,2014.0,PS3
Role-Playing,0.009950330853168083,2008.0,PC
Role-Playing,0.41871033485818504,2014.0,PS3
Action,0.5247285289349821,2014.0,X360
Role-Playing,0.27002713721306015,2003.0,GBA
Action,0.5596157879354227,2012.0,X360
Action,0.6097655716208943,2009.0,X360
Role-Playing,0.6626879730752367,2002.0,GBA
Action,0.37156355643248307,2011.0,PS3
Action,0.44468582126144574,2013.0,PS3
Role-Playing,0.0,1995.0,SNES
Role-Playing,0.44468582126144574,1999.0,PS
Role-Playing,0.3293037471426004,2002.0,GBA
Action,0.43178241642553783,2002.0,GC
Role-Playing,0.5364933705145685,2008.0,PS3
Role-Playing,0.48858001481867097,2004.0,PS2
Action,0.5423242908253617,2014.0,X360
Simulation,0.4382549309311553,2008.0,DS
Action,0.37156355643248307,2014.0,PS4
Action,0.4762341789963716,2015.0,XOne
Action,0.7419373447293773,1999.0,PS
Action,0.5423242908253617,2012.0,X360
Action,0.48858001481867097,2003.0,PS2
Action,0.3920420877760237,2012.0,3DS
Action,0.4824261492442927,2001.0,PS2
Action,0.37156355643248307,2008.0,PS3
Simulation,0.7975071958841881,2005.0,PC
Action,0.5423242908253617,2008.0,PS2
Role-Playing,0.3646431135879093,2012.0,3DS
Role-Playing,0.5709795465857378,2015.0,XOne
Role-Playing,0.3987761199573678,2002.0,PS2
Action,0.4824261492442927,2004.0,PS2
Action,0.0,2016.0,3DS
Action,0.44468582126144574,2008.0,DS
Simulation,0.09531017980432487,2005.0,DS
Simulation,0.43178241642553783,2007.0,DS
Action,0.4762341789963716,2014.0,WiiU
Action,0.4054651081081644,2007.0,DS
